FILE,START_BAR,END_BAR,NAME,TIME_SIG,SLOT_MAP,EXPORT,GENRE,SUBDIV,ORN,DUPLICATE_OF,SOURCE
6WALTZ.MID,1,2,WLZ_0001,3/4,LEGACY,YES,WLZ,16,NO,,6WALTZ.MID:1-2
6WALTZ.MID,3,4,WLZ_0002,3/4,LEGACY,YES,WLZ,16,NO,,6WALTZ.MID:3-4
6WALTZ.MID,5,6,WLZ_0003,3/4,LEGACY,YES,WLZ,16,NO,,6WALTZ.MID:5-6; break
6WALTZ.MID,7,8,WLZ_0004,3/4,LEGACY,YES,WLZ,16,NO,,6WALTZ.MID:7-8; break
6WALTZ.MID,9,10,WLZ_0005,3/4,LEGACY,YES,WLZ,32,NO,,6WALTZ.MID:9-10; break
