level	group_hash	member_count	pattern_ids
FAMILY	9ff416c6dbbd5b2345c7c214a64917992f4cb1d60aab9e0e5b3e66b425b00563	2	IDX_0000615,IDX_0001537
FAMILY	a434a0f77410bc62bc18771477134b46dde1b9e6dd26edd8b851d9aa4c1d4392	2	IDX_0001372,IDX_0001465
FAMILY	a733e13b5141f3196aa5c5c5987f7397a7c06756acb812f01213803162a5d821	2	IDX_0000174,IDX_0000646
FAMILY	afe9abd1e107a2c2a75d93a2976405f98296fd0fb03297d2f89225f0851608cb	2	IDX_0001328,IDX_0001777
FAMILY	b110e43730ab0bd44fdd69e0eb1111a9414c8e9a6f1309b24f74850eef621637	2	IDX_0000502,IDX_0000541
FAMILY	b225a150acf55475b082f9d5f669e888a291b5c098b851de149cafeb909c4efe	2	IDX_0000126,IDX_0001019
FAMILY	b788ae689644a03e90db92eb66fa835f1534735cd79e45e1f711a050177b3cba	2	IDX_0000850,IDX_0000855
FAMILY	c2a4186b41250f4be66416293fbe176d35b6162ed5249cc43462707b3b8b86a6	2	IDX_0001040,IDX_0001525
FAMILY	ca7b539169f7926d2171305e444fc7929560eb7e7738f959b03703e187baaf28	2	IDX_0000067,IDX_0000448
FAMILY	d2f23f2799a1a66f014df110d440f1457573ae453334e00a9ea042037c270c5e	2	IDX_0000610,IDX_0001027
FAMILY	d540fec9fa7e48bb677ec9ac0a751643cc604f70e90ee0b1b9e6c02a4512c76b	2	IDX_0000816,IDX_0001447
FAMILY	d55d8a34a45c25002849946ffef58a9c940401dc2881186c6cbb22084dc9a54c	2	IDX_0000830,IDX_0001275
FAMILY	d7a0fe120827c15da96f71286f748b04215775282cddaee1ba123c7f0af0cfc0	2	IDX_0000194,IDX_0001509
FAMILY	e60793a75401b82add24ea66ce92fbd97b2f557adb49f9795799ac1c07c088a0	2	IDX_0000697,IDX_0001552
FAMILY	eabf0c68d075da438712c9537c1c73132ce2a1e3b2bc578c0333e3b6a4b93ba8	2	IDX_0000328,IDX_0001617
FAMILY	f0823f3ac0ce181aaf91000c808ca37ae77f9414e1912485a8d834a23b8139dc	2	IDX_0001031,IDX_0001260
FAMILY	f6b616e78888ca161fe78e6e112dddf60521a87bb56fede6b41770dc36e4754a	2	IDX_0000678,IDX_0001081
FAMILY	fa5d62cb6c27613597ea25611a2c443cf589dcc9c0d13bb987d526927e049fc4	2	IDX_0000379,IDX_0000620
FAMILY	fd2384332381c686081e2ca83cd040585f99d47542d96bfe107379ea9f95d8de	2	IDX_0001074,IDX_0001632
