target_rap_size	replicates	sampled_medoids_mean	sampled_medoids_sd	rap_fraction_mean	rap_fraction_sd	multi_families_mean	multi_families_sd	pure_rap_families_mean	pure_rap_families_sd	mixed_families_mean	mixed_families_sd	medoids_in_multi_mean	medoids_in_multi_sd	rap_rap_pairs_mean	rap_rap_pairs_sd	expected_rap_rap_pairs_random_mean	expected_rap_rap_pairs_random_sd	rap_rap_enrichment_mean	rap_rap_enrichment_sd	rap_neighbor_homophily_mean	rap_neighbor_homophily_sd	homophily_lift_over_pool_mean	homophily_lift_over_pool_sd
100	100	655.0	0.0	0.15267175572519084	0.0	133.92	2.841538920082467	11.25	2.5281246293278623	5.5	1.8667748886377502	313.52	5.634453896081741	13.43	3.610464588588918	5.533664822466558	0.1219519013586367	2.4185222186726225	0.6152393120244048	0.7475366123085019	0.09345239077203868	4.896364810620688	0.6121131595568533
200	100	755.0	0.0	0.26490066225165565	0.0	158.36	3.7268341698139626	34.31	3.6032953492237323	8.43	2.3751873929261142	367.28	7.478021668918062	44.84	6.1524734288682055	19.131993605846084	0.5183897079469417	2.338807781123454	0.274237231870956	0.860506867548429	0.0436421477235409	3.24841342499532	0.1647491076563669
300	100	855.0	0.0	0.3508771929824563	1.6737241846796128e-16	188.72	4.283112245207976	63.57	3.882764296974333	10.43	2.4173405539011985	433.94	8.288753485502772	86.3	7.324374693205192	38.8900242409302	1.1004857373922423	2.216338823585676	0.1396867906874374	0.9058938798262769	0.023235898443473037	2.5817975575048893	0.06622231056389814
